20MICRONS,"http://www.moneycontrol.com/india/stockpricequote/miningminerals/20microns/2M
3IINFOTECH,"http://www.moneycontrol.com/india/stockpricequote/computerssoftware/3iinfotech/I11
ACE,"http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/acesoftwareexports/ASE02
ACE,"http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/acesoftware/AS23
ACE,"http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/acestonecraft/ASL02
ACE,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/acetoursworldwide/ATW
ACE,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/acewinagriteck/INE02
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/addlifepharma/ALP
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adinathbiolabs/ABL02
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adithyaalkaloids/AAL
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adviklaboratories/AL07
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aesculapiusremedies/AR05
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ahlconparenteralindia/API01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22
ACE,"http://www.moneycontrol.com/india/stockpricequote/textilesgeneral/akmlaceembrotex/ALE
ACE,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/akmlaceembrotex/AKM
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/albertdavid/AD01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembic/A08
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alpalaboratories/AL11
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alphadrugsindia/ADI
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alpslaboratories/AL04
ACE,"http://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacementeastern/ACE
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ambalalsarabhaienterprise/ASE
ACE,"http://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacementrajasthan/ACR01
ACE,"http://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/americanremedies/AR03
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/amrutanjanhealthcare/AHC01
ACE,"http://www.moneycontrol.com/india/stockpricequote/cementmajor/andhracement/AC16
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/anglifesciencesindia/ALI
