ANKITMETAL,"http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/ankitmetalpower/AMa
ANUP,"http://www.moneycontrol.com/india/stockpricequote/castingsforgings/anupmalleables/AML02
ANUP,"http://www.moneycontrol.com/india/stockpricequote/financeinvestments/anupamfinserv/VCS
ANUP,"http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/anupamasteel/ASL06
ANUP,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/theanupengineering/ANUP54246
APCOTEXIND,"http://www.moneycontrol.com/india/stockpricequote/rubber/apcotexindustries/AI58
APEX,"http://www.moneycontrol.com/india/stockpricequote/foodprocessing/apexfrozenfoods/AFF
APLAPOLLO,"http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/aplapollotubes/BT09
APOLLO,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/apollomicrosystemsltd/AMS
APOLLOHOSP,"http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/apollohospitalsenterprises/AHE
APOLLOPIPE,"http://www.moneycontrol.com/india/stockpricequote/plastics/apollopipes/ALF02
APOLLOTYRE,"http://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14
ARCHIDPLY,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/archidplyindustries/AI
ARIES,"http://www.moneycontrol.com/india/stockpricequote/fertilisers/ariesagro/AA02
ARIHANT,"http://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/arihantfoundationshousing/AFH
ARIHANTSUP,"http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/arihantsuperstructures/SMC07
ARMANFIN,"http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/armanfinancialservices/AFS04
AROGRANITE,"http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/arograniteindustries/AGI01
ARROWGREEN,"http://www.moneycontrol.com/india/stockpricequote/plastics/arrowgreentech/ACP
ARSSINFRA,"http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/arssinfrastructureprojects/AIP
ARTEMISMED,"http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/artemismedicareserviceslimi/ARTEM54291
ARVIND,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/arvindfashionslimited/ARVIN54248
ASAHIINDIA,"http://www.moneycontrol.com/india/stockpricequote/glassglassproducts/asahiindiaglass/AIG01
ASAHISONG,"http://www.moneycontrol.com/india/stockpricequote/dyespigments/asahisongwoncolors/ASC01
ASHIANA,"http://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/ashianahousing/AH07
ASHOKA,"http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ashokabuildcon/AB
ASHOKLEY,"http://www.moneycontrol.com/india/stockpricequote/financeinvestments/ashokleylandfinance/ALF01
ASHOKLEY,"http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/ashokleyland/AL
ASIANPAINT,"http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31
ASTEC,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/asteclifesciences/AL13
ASTERDM,"http://www.moneycontrol.com/india/stockpricequote/diversified/asterdmhealthcareltd/ADH
ASTRAL,"http://www.moneycontrol.com/india/stockpricequote/plastics/astralpolytechnik/APT02
ASTRAMICRO,"http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/astramicrowaveproducts/AMP01
ASTRAZEN,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP
ASTRON,"http://www.moneycontrol.com/india/stockpricequote/paper/astronpaperboardmillltd/APB
ATULAUTO,"http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/atulauto/AA08
AURIONPRO,"http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/aurionprosolutions/PS12
AUSOMENT,"http://www.moneycontrol.com/india/stockpricequote/financeinvestments/ausomenterprise/CE06
AUTOIND,"http://www.moneycontrol.com/india/stockpricequote/castingsforgings/akarautoindustries/AT04
AUTOIND,"http://www.moneycontrol.com/india/stockpricequote/autoancillaries/jamnaautoindustries/JAI
AUTOIND,"http://www.moneycontrol.com/india/stockpricequote/autoancillaries/munjalautoindustries/MAI04
AVADHSUGAR,"http://www.moneycontrol.com/india/stockpricequote/sugar/avadhsugarenergy/ASE03
AVANTIFEED,"http://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21
AXISBANK,"http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16
AXISCADES,"http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/axiscadestechnologies/AXI
AYMSYNTEX,"http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/aymsyntex/WS01
BAFNAPH,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bafnapharmaceuticals/BP01
BAGFILMS,"http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/bagfilmsmedia/BAG
BAJAJCON,"http://www.moneycontrol.com/india/stockpricequote/personalcare/bajajconsumercare/BC02
BAJAJELEC,"http://www.moneycontrol.com/india/stockpricequote/domesticappliances/bajajelectricals/BE
BAJAJHIND,"http://www.moneycontrol.com/india/stockpricequote/sugar/bajajhindusthansugarindustries/PSI01
BAJAJHIND,"http://www.moneycontrol.com/india/stockpricequote/sugar/bajajhindusthansugar/BH06
BALAJITELE,"http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/balajitelefilms/BT06
BALAXI,"http://www.moneycontrol.com/india/stockpricequote/trading/balaxipharmaceuticals/TAR
BALKRISHNA,"http://www.moneycontrol.com/india/stockpricequote/paper/balkrishnapapermills/NPM01
BALLARPUR,"http://www.moneycontrol.com/india/stockpricequote/paper/ballarpurindustries/BI12
BALPHARMA,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/balpharma/BP02
BANG,"http://www.moneycontrol.com/india/stockpricequote/textilesgeneral/bangoverseas/BO02
BANKA,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/bankabioloo/BB08
BARTRONICS,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/bartronicsindia/BI21
BASF,"http://www.moneycontrol.com/india/stockpricequote/chemicals/basfindia/BAS
BATAINDIA,"http://www.moneycontrol.com/india/stockpricequote/leatherproducts/bataindia/BI01
BAYERCROP,"http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/bayercropscience/BC12
BCP,"http://www.moneycontrol.com/india/stockpricequote/cablespowerothers/bcpowercontrols/PC13
LT,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/bharatdynamicsltd/BDL01
MIC,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/bharatdynamicsltd/BDL01
BEDMUTHA,"http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/bedmuthaindustries/BI05
BFINVEST,"http://www.moneycontrol.com/india/stockpricequote/financeinvestments/bfinvestment/BFI
BFUTILITIE,"http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/bfutilities/BFU
BGRENERGY,"http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bgrenergysystems/BES
BHAGERIA,"http://www.moneycontrol.com/india/stockpricequote/dyespigments/bhageriaindustries/BD02
BHANDARI,"http://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/bhandarihosieryexports/BHE02
